"slang word","word formation model","context","part of speech","Genre of game Where it appears","Connotation","Sentence"
"Spammer","Suffixation","Evaluating other users","noun","General","negative","The spammer flooded chat with nonsense messages."
"Stealer","Suffixation","Evaluating other users","noun","General","negative","Report the stealer who took all the loot from the raid."
"Cheater","Suffixation","Evaluating other users","noun","General","negative","Aimbot users are the worst kind of cheaters."
"Caster","Suffixation","Player’s role","noun","General","ambivalent","Our caster dealt massive AoE damage in that teamfight."
"Lagger","Suffixation","Evaluating other users","noun","FPS","negative","The lagger made the game unplayable with 500ms ping."
"Raider","Suffixation","Player’s role","noun","MMORPG","irony/sarcasm","Raiders will attack the enemy base at 8 PM server time."
"Treasurer","Suffixation","Player’s role","noun","General","positive","The treasurer distributes guild resources fairly."
"GG","Abbreviations","Communication process","noun","FPS","ambivalent","GG, that was a perfect match."
"AFK","Abbreviations","Game atmosphere and state of the player","verb","FPS","negative","Our tank went AFK in the middle of the dungeon."
"LFG","Abbreviations","Communication process","noun","General","neutral","LFG for Nightfall raid, need 1 healer!"
"DPS","Abbreviations","Player’s role","noun","MMORPG","neutral","I don’t want to be top DPS, all I want is not to struggle because my dps is low."
"HP","Abbreviations","In-game indicators","noun","MMORPG","neutral","My HP is critical, need healing ASAP!"
"MP","Abbreviations","In-game indicators","noun","MMORPG","neutral","Out of MP after that ultimate, need to regen."
"K/D ratio","Abbreviations","In-game indicators","noun","FPS","neutral","My K/D ratio improved to 3.5 this season."
"AoE","Abbreviations","Game mechanics","noun","General","neutral","Survival hunters like to use beasts, traps and melee hits to cause mass chaos and aoe damage. "
"PvP","Abbreviations","Game atmosphere and state of the player","noun","General","neutral","""PvP in this game is all about skill rotations."
"CD","Abbreviations","Game mechanics","noun","General","irony/sarcasm","Put your brain on CD, brat."
"PK","Abbreviations","Game mechanics","noun","General","negative","PK are camping the low-level zone again."
"RvR","Abbreviations","Game atmosphere and state of the player","noun","General","neutral","The RvR battleground opens at 8 PM server time."
"GvG","Abbreviations","Game atmosphere and state of the player","noun","General","neutral","Our guild won the GvG tournament last season!"
"FC","Abbreviations","Player’s role","noun","General","positive","The FC needs protection to capture the flag."
"F2P","Abbreviations","Games and game genres","adjective","General","ambivalent","F2P players hit a paywall at level 50."
"RTS","Abbreviations","Strategies and gameplay","noun","Strategy","irony/sarcasm","I prefer RTS games over MOBAs for their macro strategy."
"To D/C","Abbreviations","Game atmosphere and state of the player","verb","General","ambivalent","Our healer D/C’d mid-fight—we’re doomed!"
"GTG","Abbreviations","Communication process","verb","General","irony/sarcasm","GTG after this match—dinner’s ready."
"IRL","Abbreviations","Communication process","adverb ","General","neutral","I met my WoW guildmates IRL at BlizzCon."
"To DE","Abbreviations","Game mechanics","verb","General","neutral","DE that trash gear for crafting mats."
"To TP","Abbreviations","Game mechanics","verb","General","neutral","TP to base if you're low on health."
"SS","Abbreviations","Technical terms","noun","General","neutral","No one called SS so I got ganked for free."
"FTW","Abbreviations","Communication process","adverb ","General","positive","FTW, we just wiped the enemy team!"
"L2P","Abbreviations","Evaluating other users","adjective","General","positive","L2P noob, stop feeding the opponent!"
"ADC","Abbreviations","Player’s role","noun","MOBA","positive","The ADC focused their AP carry first."
"AP","Abbreviations","In-game indicators","noun","MOBA","positive","Build more AP to burst down their squishies."
"WP","Abbreviations","Communication process","adverb ","General","positive","WP, that clutch move saved the game."
"BM","Abbreviations","Communication process","noun","General","negative","Don’t BM the other team after winning."
"CC","Abbreviations","Game mechanics","noun","MOBA","ambivalent","Chain your CC to lockdown the enemy carry."
"OOM","Abbreviations","Game mechanics","adverb ","General","negative","I'm OOM after that fight - need to drink."
"NPC","Abbreviations","In-game creatures","noun","RPG","ambivalent","Also I’m not your friend, you’re a glorified NPC to me. "
"FF","Abbreviations","Teamwork","noun","General","negative","They surrendered with an FF vote after losing Baron."
"GWK","Abbreviations","Expressions associated with victory and defeat","noun","General","positive","Everyone typed GWK in chat after our comeback win."
"FR","Abbreviations","Strategies and gameplay","noun","General","irony/sarcasm","FR, this new patch ruined the meta."
"OP","Acronyms","Managing the characteristics of the game character","adjective","General","irony/sarcasm","This new champion is completely OP."
"DOT","Acronyms","In-game indicators","noun","General","neutral","My bleed DOT ticks for 500 damage per second."
"To KOS","Acronyms","Strategies and gameplay","verb","General","ambivalent","The guild leader said to KOS any enemy faction players on sight."
"PuG","Acronyms","Game atmosphere and state of the player","noun","General","ambivalent","Our PuG wiped three times on the first boss."
"BIS","Acronyms","In-game items, resources, and phenomena","adjective","General","positive","Finally got my BIS weapon from the raid!"
"AFAIK","Acronyms","Communication process","verb","General","irony/sarcasm","No nerfs announced AFAIK."
"MIA","Acronyms","Communication process","adjective","General","irony/sarcasm","Why didn't you call MIA when your laner left?"
"Lvl","Acronyms","In-game indicators","noun","RPG","neutral","Your lvl is too low for Mythic dungeons."
"To ROFL","Acronyms","Communication process","verb","General","irony/sarcasm","That fail jump made me ROFL IRL."
"LoL","Acronyms","Games and game genres","noun","General","neutral","I've played LoL since Season 2 but still suck at last-hitting."""
"WoW","Acronyms","Games and game genres","noun","General","neutral","Our WoW guild raids every Thursday night."
"Ilvl","Acronyms","In-game indicators","noun","RPG","neutral","I boosted my ilvl by crafting legendaries."
"Pers","Clipping","In-game creatures","noun","General","neutral","Switch to your fire resist pers for this boss."
"Res","Clipping","Game mechanics","verb","General","neutral","I'll res you after the mobs reset."
"Buff","Clipping","Game mechanics","noun","MMORPG","positive","Don't pull until we have all raid buffs!"
"Proc","Clipping","Technical terms","noun","MMORPG","ambivalent","My weapon proc crit for 10K damage!"
"Mob","Clipping","In-game creatures","noun","MMORPG","negative","The mob respawns every 2 minutes."
"Bot","Clipping","In-game creatures","noun","General","irony/sarcasm","This bot farms gold 24/7 near the river."
"Port","Clipping","In-game items, resources, and phenomena","noun","General","neutral","Port to Stormwind and meet me at the auction house."
"Alt","Clipping","Player’s role","noun","MMORPG","ambivalent","My alt character specializes in blacksmithing."
"Perma","Clipping","Technical terms","noun","General","negative","I got perma-banned for botting."
"Pot","Clipping","In-game items, resources, and phenomena","noun","General","neutral","I'm out of mana pots - need to restock."
"Ult","Clipping","Game mechanics","adjective","General","positive","Save your ult for the boss’s enrage phase!"
"Spec","Clipping","Managing the characteristics of the game character","noun","MMORPG","neutral","Switch to your AoE spec for dungeon trash pulls."
"Add","Clipping","In-game items, resources, and phenomena","noun","General","positive","Tank, pick up the add before it kills the healer!"
"Auc","Clipping","In-game items, resources, and phenomena","noun","General","neutral","I sniped this weapon for cheap on the auc last night"
"Crit","Clipping","In-game indicators","noun","General","neutral","My last attack was a crit for 10K damage!"
"Imba","Clipping","Managing the characteristics of the game character","adjective","General","positive","This new hero is totally imba—either OP or useless."""
"To Rep","Clipping","Technical terms","verb","General","negative","Farm these mobs to rep up with the faction."
"Stats","Clipping","In-game indicators","noun","RPG","neutral","Your stats are too low for this difficulty—upgrade your gear."
"Wombo combo","Reduplication","Strategies and gameplay","noun","MOBA","ambivalent","That wombo combo wiped the entire enemy team!"
"Campy Camp","Spoonerisms","Player’s role","noun","MMORPG","irony/sarcasm","Campy Camp is full of toxic players."
"Looty Loot","Spoonerisms","Game atmosphere and state of the player","noun","RPG","irony/sarcasm","Looty Loot event drops double rewards!"
"To Kite","Metaphors","Player’s role","verb","General","positive","All i had to do was kite away a bit and have them chase me into my group and die quick since they had no trap in combat. "
"Fed","Metaphors","Managing the characteristics of the game character","adjective","General","negative","That Jinx is fed and one-shotting everyone."
"Tank","Metaphors","Player’s role","noun","MOBA","neutral","It looks like we need a tank again. "
"Trash","Metaphors","In-game creatures","noun","General","ambivalent","His aim is pure trash, can't hit anything."
"Easter egg","Metaphors","In-game items, resources, and phenomena","noun","FPS","positive","Did you find the easter egg hidden in the last mission?"
"Cheese","Metaphors","Strategies and gameplay","noun","General","irony/sarcasm","They used a cheese strategy to win in five minutes."
"Troll","Metaphors","Evaluating other users","noun","General","negative","Stop picking random heroes, are a troll?"
"Battery","Metaphors","Player’s role","noun","General","positive","Supports act as batteries for energy-hungry characters."
"Dolphin","Metaphors","Evaluating other users","noun","General","negative","He spends a bit on cosmetics, more like a dolphin, not a whale."
"Whale","Metaphors","Evaluating other users","noun","General","negative","That guy is a whale, owns every skin in the game."
"Burst","Metaphors","Game mechanics","noun","Action","neutral","That mage has insane burst — you’re dead in a second."
"Premade","Metaphors","Teamwork","adjective","General","ambivalent","We lost to a full premade, no wonder they were coordinated."
"Plant","Metaphors","Evaluating other users","noun","General","negative","He played like a plant, stood still the whole round."
"To nuke","Metaphors","Game mechanics","verb","FPS","positive","As a warrior the only counter play is to shield up and hope and pray someone nukes him before he nukes you and your team."
"Wrecking Ball","Metaphors","Strategies and gameplay","noun","General","irony/sarcasm","Their Wrecking Ball player kept stalling the point perfectly."
"Ace","Metaphors","Player’s role","noun","MOBA","positive","We pulled off an ace, no one on their team survived."
"Clown fiesta","Metaphors","Game atmosphere and state of the player","noun","MOBA","irony/sarcasm","This match is a total clown fiesta, no one knows what they’re doing."
"Snowball","Metaphors","Game atmosphere and state of the player","noun","MOBA","positive","They’re starting to snowball, we need to shut them down now."
"Ninja","Metaphors","Player’s role","noun","General","irony/sarcasm","He pulled off a ninja defuse right under their noses."
"Tourist","Metaphors","Player’s role","noun","General","irony/sarcasm","Are you one of these elusive tourists people keep talking about?"
"Cloth","Metonymy","In-game items, resources, and phenomena","noun","General","ambivalent","Mages usually wear cloth armor — low defense, high magic."
"Leather","Metonymy","In-game items, resources, and phenomena","noun","General","ambivalent","""Rogues wear leather gear for mobility and stealth."
"Iron","Metonymy","In-game items, resources, and phenomena","noun","General","ambivalent","He's stuck in Iron rank, no matter how hard he tries."
"Silver","Metonymy","In-game items, resources, and phenomena","noun","General","ambivalent","Most players are Silver, it's the middle ground."
"Gold","Metonymy","In-game items, resources, and phenomena","noun","General","ambivalent","She finally ranked up to Gold after months!"
"Q","Metonymy","In-game indicators","noun","General","neutral","Just press Q and delete someone — it’s that simple."
"E","Metonymy","In-game indicators","noun","General","neutral","Use E to dash away when you're low on health."
"Thrower ","Suffixation","Evaluating other users","noun","General","negative","We were winning until that thrower decided to 1v5."
"Rager","Suffixation","Evaluating other users","noun","General","negative","Ignore the rager, he’s flaming because he lost lane."
"Salty ","Suffixation","Evaluating other users","noun","General","negative","He got so salty after that last killcam."
"Scrub ","Metaphors","Evaluating other users","noun","General","negative","That scrub doesn’t even know how to reload properly."
"Trash ","Metaphors","Evaluating other users","noun","General","negative","They called me trash after one bad round."
"Boosted","Suffixation","Evaluating other users","adjective","General","irony/sarcasm","No way you're this bad at Gold — are you boosted?"
"Hardstuck","Word composition","Evaluating other users","noun","General","negative","He’s hardstuck in Bronze for three seasons straight."
"Anchor","Metaphors","Evaluating other users","noun","General","negative","The support acted like an anchor, always in the right spot."
"Deadweight","Word composition","Strategies and gameplay","noun","General","negative","Their jungler was complete deadweight, zero pressure."
"Potato","Metaphors","Evaluating other users","noun","General","irony/sarcasm","My PC turned into a potato mid-fight, everything lagged."
"Smoothbrain","Word composition","Evaluating other users","noun","General","irony/sarcasm","That smoothbrain move cost us the game."
"Monkey","Metaphors","Evaluating other users","noun","General","irony/sarcasm","He’s just jumping around like a monkey with no plan."
"Camper ","Suffixation","Strategies and gameplay","noun","MOBA","negative","That sniper is a classic camper, never leaves that spot."
"Rat ","Metaphors","Strategies and gameplay","noun","MOBA","irony/sarcasm","The rat flanked us and picked off the backline."
"Baiting ","Suffixation","Strategies and gameplay","noun","MOBA","negative","He keeps baiting teammates into losing fights."
"Backseat ","Word composition","Evaluating other users","adjective","MOBA","negative","Stop backseat gaming, let me play how I want."
"Pinger ","Suffixation","Strategies and gameplay","noun","MOBA","irony/sarcasm","This pinger won’t stop spamming the map."
"Braindead ","Word composition","Evaluating other users","adjective","MOBA","irony/sarcasm","That braindead strat worked?"
"Dogwater ","Suffixation","Evaluating other users","noun","General","irony/sarcasm","You're literally dogwater, uninstall."
"Mic spammer","Word composition","Evaluating other users","noun","FPS","negative","Mute the mic spammer, I can't focus."
"EZ ","Abbreviations","Communication process","noun","MOBA","ambivalent","That boss fight was EZ, didn’t even break a sweat."
"Pro ","Clipping","Evaluating other users","noun","General","positive","He plays like a pro, every shot is on point."
"Godlike ","Word composition","Evaluating other users","adjective","General","irony/sarcasm","After ten kills without dying, the announcer yelled Godlike."
"Beast ","Metaphors","Evaluating other users","noun","General","positive","She's a beast with that sniper rifle!"
"GOAT","Abbreviations","Evaluating other users","noun","MOBA","irony/sarcasm","That clutch play proved he's the GOAT of this game."
"MVP ","Abbreviations","Player’s role","noun","MOBA","positive","He carried the team again — definitely the MVP."
"Synergy ","Metaphors","Game atmosphere and state of the player","noun","MOBA","positive","Our synergy was perfect during the last raid."
"Pocket healer","Word composition","Player’s role","noun","MMORPG","irony/sarcasm","I stick with the tank as his pocket healer."
"Sick","Metaphors","Game atmosphere and state of the player","adjective","General","positive","Did you see that sick headshot?"
"Nutty ","Suffixation","Game atmosphere and state of the player","adjective","MOBA","irony/sarcasm","His movement is absolutely nutty, you can’t hit him."
"Banger ","Suffixation","Game atmosphere and state of the player","adjective","General","positive","This new update is a banger, best one yet."
"W","Clipping","Communication process","noun","MOBA","positive","That teamfight was clean — easy W for us."
"Student ","Metaphors","Evaluating other users","noun","General","irony/sarcasm","I'm just a student of the meta, learning from the best."
"Tilter","Suffixation","Evaluating other users","noun","MOBA","negative","Dying to the same trap again is such a tilter."
"Feeder","Suffixation","Evaluating other users","noun","MOBA","negative","He's been dying non-stop — total feeder."
"Drama queen","Word composition","Evaluating other users","noun","General","irony/sarcasm","Don’t be a drama queen, it’s just a game."
"Whiner","Suffixation","Evaluating other users","noun","General","irony/sarcasm","hat guy complains after every match, what a whiner."
"to DNP","Abbreviations","Communication process","verb","MOBA","negative","He decided to DNP the tournament this year."
"to F4","Metonymy","Communication process","verb","General","irony/sarcasm","The whole team agreed to F4 after that failed push."
"Feedlord","Word composition","Strategies and gameplay","noun","MOBA","irony/sarcasm","Look at this feedlord, 0-10 already!"
"Matchthrower","Word composition","Strategies and gameplay","noun","FPS","negative","She had the lead and still lost — total matchthrower."
"Deranker","Suffixation","Evaluating other users","noun","MMORPG","negative","He’s smurfing and deranking to farm easier games."
"Tilt machine","Word composition","Strategies and gameplay","noun","MMORPG","irony/sarcasm","After that disconnect, I became a tilt machine."
"Slowpoke","Word composition","Evaluating other users","noun","MMORPG","irony/sarcasm","Hurry up, slowpoke, we’re waiting at the gate!"
"Misclicker","Suffixation","Evaluating other users","noun","MMORPG","irony/sarcasm","Don’t mind me, I’m just a misclicker again."
"Wintrader","Suffixation","Strategies and gameplay","noun","MMORPG","negative","wo pros got caught as wintraders in ranked."
"Lag baby","Word composition","Evaluating other users","noun","MMORPG","irony/sarcasm","He blamed the loss on lag again, what a lag baby."
"Zergling","Suffixation","Strategies and gameplay","noun","MMORPG","negative","We got rushed by a bunch of zerglings, no chance to react."
"Aimbot","Word composition","Strategies and gameplay","noun","MMORPG","irony/sarcasm","That flick was unreal — are you using an aimbot?"
"Loadout","Word composition","Managing the characteristics of the game character","adjective","MMORPG","positive","Make sure your loadout has enough utility before the mission."
"GOTY","Abbreviations","Games and game genres","noun","General","positive","This title deserves GOTY, hands down."
"Warlord","Word composition","Evaluating other users","noun","MMORPG","positive","He’s the warlord of our clan, commands every battle."
"Victory Lap","Word composition","Expressions associated with victory and defeat","noun","General","positive","We're just doing a victory lap now, game's basically over."
"Perfect Timing","Word composition","Game atmosphere and state of the player","noun","FPS","positive","She landed the stun with perfect timing."
"Monster Kill","Word composition","Expressions associated with victory and defeat","noun","FPS","positive","Triple kill, No, wait — Monster Kill!"
"Snowballing","Word composition","Expressions associated with victory and defeat","noun","General","positive","They won one fight and now they're snowballing hard."
